gvkey,conm,ticker,industry,latest_observed_date,risk_horizon,pred_risk_2026
036335,CISO GLOBAL INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.16167152374982835
039642,MINK THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1613056555390358
313966,NANOBIOTIX SA,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1610218733549118
037516,TRISALUS LIFE SCIENCES INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.16098027750849725
039592,HEARTBEAM INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1608813390135765
033483,XORTX THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.16056875437498092
051841,VIEWBIX INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.16006289646029473
338703,SAVERONE 2014 LTD,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15947734266519548
045655,TEN HOLDINGS INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15863361582159996
039104,TEMPEST THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15805433839559554
033603,DOMO INC,,Business Services & Software,2026-01-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15688959509134293
034066,111 INC,,Misc Retail,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15630073249340057
041953,NEURAXIS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15594592839479446
042910,SYRA HEALTH CORP,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15454652905464172
170804,BLUE DOLPHIN ENERGY CO,,,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15450643599033356
031656,REIN THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15437815636396407
036237,ONCOLOGY INSTITUTE INC (THE),,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15339594781398774
038673,FTC SOLAR INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1526656284928322
035712,OCUGEN INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.15001854225993155
037062,CALCIMEDICA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.14981987252831458
042890,60 DEGREES PHARMACEUTICA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1497081644833088
038783,SENTI BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1490785449743271
133869,LIVEPERSON INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.14874245822429658
041227,ACTELIS NETWORKS INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1481247141957283
023098,ARCADIA BIOSCIENCES INC,,Crops,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.14770047441124917
037134,BIODESIX INC,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.14747811555862428
032935,CARDLYTICS INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1418853908777237
050991,NOMADAR CORP,,Amusement & Recreation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.14070769473910333
043574,FIBROBIOLOGICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.14006058648228645
126122,ONCOLYTICS BIOTECH INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.14002036228775977
037856,LOCAL BOUNTI CORP,,Crops,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13876997381448747
038056,ADAGIO MEDICAL HOLDINGS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1374019369482994
036975,COMPASS PATHWAYS PLC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13713920190930368
