gvkey,conm,latest_observed_date,risk_window,pred_risk_next_12m
180683,IBIO INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.002794491
003662,CURTISS-WRIGHT CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027944536
171007,SERVICENOW INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027840328
031331,NATIONAL ENERGY SERVICES REU,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002783493
121815,ENCORE CAPITAL GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002779961
035377,PHREESIA INC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.0027771732
043521,NET LEASE OFFICE PROPERTIES,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027742868
003619,CROWN HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027712819
038936,MISTER CAR WASH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002769983
037363,BINAH CAPITAL GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002758248
038403,SEMRUSH HOLD INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027563637
024625,TOTALENERGIES SE,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002754329
012909,MARKEL GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002749546
038400,PSYENCE BIOMEDICAL LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.0027470484
006266,JOHNSON & JOHNSON,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027461238
043278,LINKAGE GLOBAL INC,2025-09-30,Apr 2026 → Apr 2027 (approx),0.0027435499
018114,TECOGEN INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027427033
180057,IOVANCE BIOTHERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027417382
062374,IRON MOUNTAIN INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002741268
011687,ZIONS BANCORPORATION NA,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027403294
185195,VERA BRADLEY INC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.0027396218
110039,AMKOR TECHNOLOGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027395776
040833,AN2 THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027284732
019859,AKEBIA THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002728123
045070,MASSIMO GROUP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027264578
029721,METALPHA TECHNOLOGY HOLDING,2025-03-31,Apr 2026 → Apr 2027 (approx),0.0027248843
066686,ONESPAN INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027241146
031774,BRIGHTHOUSE FINANL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002722396
028675,TANDY LEATHER FACTORY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027213476
060799,ACCELERANT HOLDINGS,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027165366
015240,WESTWATER RESOURCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027149518
061490,OPKO HEALTH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002714456
039089,PASITHEA THERAPEUTICS CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027128768
002019,BANK OF NEW YORK MELLON CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027104588
008253,PACCAR INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002708244
014983,CHAMPIONS ONCOLOGY INC,2025-04-30,Apr 2026 → Apr 2027 (approx),0.002707546
312009,FRONTLINE PLC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027065175
038722,STEM INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027027247
027706,INTERNATIONAL SEAWAYS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0027014809
040430,GLOBAVEND HOLDINGS LTD,2025-09-30,Apr 2026 → Apr 2027 (approx),0.0026973367
025472,LIFEMD INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026930496
035168,CORTEVA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026914403
037711,CLOVER HEALTH INVESTMENTS,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026883164
045157,BOUNDLESS BIO INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026849615
002270,VALARIS LIMITED,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002684738
027885,TRADE DESK INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026836325
043589,UL SOLUTIONS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026834614
034161,ALLOGENE THERAPEUTICS,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026825275
037799,HYPERFINE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026817035
035837,CANAAN INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002680816
039991,INTENSITY THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026648156
004115,DYCOM INDUSTRIES INC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.002656706
018578,RE/MAX HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026446055
119275,MKS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002642491
066016,INGREDION INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026410036
127377,BGC GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.00263912
002991,CHEVRON CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026372205
003026,CHURCH & DWIGHT INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026315837
004674,REGIONS FINANCIAL CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026300624
253527,EYEPOINT INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026291509
041502,GLOBAL ENGINE GROUP HLDG LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.0026288305
002080,BASSETT FURNITURE INDS,2025-11-30,Apr 2026 → Apr 2027 (approx),0.002628437
034102,GUARDANT HEALTH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026232668
030397,WARRIOR MET COAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.00262004
130525,AMERICAS GOLD & SILVER CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026111768
063520,TRANSACT TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026074143
042262,SEALSQ CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026039183
035881,XP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0026014997
063417,TTEC HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.00259947
001104,ACME UNITED CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0025993872
031803,ADVANTAGE SOLUTIONS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0025988668
061743,KINGSWAY FINANCIAL SVCS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0025975953
029101,FIRST FINL BANKSHARES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0025918693
037480,908 DEVICES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0025914256
160225,MASTERCARD INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0025888877
043140,ALPHA TECHNOLOGY GROUP LTD,2025-09-30,Apr 2026 → Apr 2027 (approx),0.002587535
